name,rank,area,profile,homepage
Yagiz Aksoy,Assistant Professor,"Computational photography, computer graphics, computer vision and deep learning",https://www.sfu.ca/computing/people/faculty/yagizaksoy.html,http://people.inf.ethz.ch/aksoyy/
Saba Alimadadi,Assistant Professor,Software engineering,https://www.sfu.ca/computing/people/faculty/sabaalimadadi.html,https://www.sfu.ca/computing/people/faculty/sabaalimadadi.html
Brad Bart,SENIOR LECTURER,Instruction,https://www.sfu.ca/computing/people/faculty/bradleybart.html,http://www.cs.sfu.ca/~bbart/
Andrei Bulatov,Professor,"Constraint Satisfaction, Complexity of Computation",https://www.sfu.ca/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/
SHEELAGH CARPENDALE,PROFESSOR,Information Visualization,https://www.sfu.ca/computing/people/faculty/sheelaghcarpendale.html,https://www.cs.sfu.ca/~sheelagh/
Angel Chang,Assistant Professor,"Natural Language Processing, Artificial Intelligence, Computer Graphics",https://www.sfu.ca/computing/people/faculty/angelchang.html,
Victor Cheung,Limited-term Lecturer,"Human-computer interaction, interface and interaction design",https://www.sfu.ca/computing/people/faculty/victor-cheung.html,
Ryan C.N. D'Arcy,Professor,Neuroscience,https://www.sfu.ca/computing/people/faculty/ryandarcy.html,
Toby Donaldson,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/tobydonaldson.html,
John Edgar,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/johnedgar.html,
Eugene Fiume,"Professor
Dean of Applied Sciences",Computer Graphics,https://www.sfu.ca/computing/people/faculty/eugenefiume.html,
Uwe Glässer,Professor,"Software Technology, Distributed Communication Architectures",https://www.sfu.ca/computing/people/faculty/uweglasser.html,http://www.cs.sfu.ca/~glaesser/
Ghassan Hamarneh,Professor,"Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)",https://www.sfu.ca/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/
Pavol Hell,Professor,Computational Combinatorics,https://www.sfu.ca/computing/people/faculty/pavolhell.html,http://www.cs.sfu.ca/~pavol/
Anne Lavergne,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/
Ze-Nian Li,Professor,"Computer Vision, Multimedia",https://www.sfu.ca/computing/people/faculty/ze-lianli.html,http://www.cs.sfu.ca/~li/
Angelica Lim,Assistant Professor of Professional Practice,Human Robot Interaction,https://www.sfu.ca/computing/people/faculty/angelicalim.html,https://www.rosielab.ca/
Hang Ma,Assistant Professor,"Artificial Intelligence, Robotics, Multi-Agent/Robot Systems, Machine Learning",https://www.sfu.ca/computing/people/faculty/hangma.html,https://www.sfu.ca/~hangma/
Greg Mori,Professor,"Computer Vision, Machine Learning",https://www.sfu.ca/computing/people/faculty/gregmori.html,http://www.cs.sfu.ca/~mori/
Steven Pearce,Lecturer,"Instruction, Computational Applied Mathematics",https://www.sfu.ca/computing/people/faculty/stevenpearce.html,http://www.cs.sfu.ca/~stevenp/
Joseph G. Peters,Professor,Network Communications,https://www.sfu.ca/computing/people/faculty/JosephPeters.html,http://www.cs.sfu.ca/~peters/
Janice Regan,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/
Manolis Savva,Assistant Professor,"Computer Graphics, Computer Vision, Deep Learning",https://www.sfu.ca/computing/people/faculty/manolissavva.html,
Thomas C. Shermer,Professor,Computational Geometry and Computer Graphics,https://www.sfu.ca/computing/people/faculty/thomasshermer.html,http://www.cs.sfu.ca/~shermer/
Arrvindh Shriraman,Associate Professor,"Systems architecture, hardware-software interactions, parallelism, sychronization and imporoving software reliability within specialized fields.",https://www.sfu.ca/computing/people/faculty/ArrvindhShriraman.html,http://www.cs.sfu.ca/~ashriram/
William (Nick) Sumner,Associate Professor,"Software Development, Debugging",https://www.sfu.ca/computing/people/faculty/NickSumner.html,http://www.cs.sfu.ca/~wsumner/
Eugenia Ternovska,Associate Professor,"Logical in Computer Science, Descriptive Complexity",https://www.sfu.ca/computing/people/faculty/EugeniaTernovska.html,http://www.cs.sfu.ca/~ter/
Keval Vora,Assistant Professor,"Parallel & Distributed Computing, Irregular Big Data Processing and High Performance Computing",https://www.sfu.ca/computing/people/faculty/kevalvora.html,http://www.cs.sfu.ca/~keval/
Ke Wang,Professor,"Databases, Data Mining",https://www.sfu.ca/computing/people/faculty/kewang.html,http://www.cs.sfu.ca/~wangk/
Kay C. Wiese,"Associate Professor
Program Director","Bioinformatics, Evolutionary Computation, Computational Intelligence, Visualization",https://www.sfu.ca/computing/people/faculty/kaywiese.html,http://www.cs.sfu.ca/~wiese/
KangKang Yin,Associate Professor,"Computer Animation, Computer Graphics, Humanoid Robotics, Machine Learning, Multimedia Analysis",https://www.sfu.ca/computing/people/faculty/kangkangyin.html,http://www.cs.sfu.ca/~kkyin/
Richard (Hao) Zhang,"Professor 
Associate Director",Computer Graphics; Geometric Modelling,https://www.sfu.ca/computing/people/faculty/richardzhang.html,http://www.cs.sfu.ca/~haoz/
Alaa Alameldeen,Associate Professor,"Computer architecture, computer systems, memory systems/security",https://www.sfu.ca/computing/people/faculty/alaa-alameldeen.html,http://www.cs.sfu.ca/~alaa/alaa_home.shtml
Ouldooz Baghban Karimi,Lecturer,Data & Networks,https://www.sfu.ca/computing/people/faculty/ouldoozbaghbankarimi.html,
Greg Baker,UNIVERSITY LECTURER,Instruction,https://www.sfu.ca/computing/people/faculty/gregbaker.html,http://www.cs.sfu.ca/~ggbaker/
Binay Bhattacharya,Professor,"Computational Geometry, Pattern Recognition",https://www.sfu.ca/computing/people/faculty/binaybhattacharya.html,http://www.cs.sfu.ca/~binay/
Robert D. Cameron,Professor,Software Engineering Languages; Electronic Publication,https://www.sfu.ca/computing/people/faculty/robertdcameron.html,http://www.cs.sfu.ca/~cameron/
Bobby Chan,LECTURER,Instruction,https://www.sfu.ca/computing/people/faculty/bobbychan1.html#main_content_title,https://www.sfu.ca/computing/people/faculty/bobbychan1.html#main_content_title
Mo Chen,Assistant Professor,Robotics and Autonomous Systems,https://www.sfu.ca/computing/people/faculty/mochen.html,
Parmit Chilana,Assistant Professor,Human-Computer Interaction,http://www.sfu.ca/computing/people/faculty/parmitchilana.html,http://hci.cs.sfu.ca/
Diana Cukierman,University Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/dianacukierman.html,
James P. Delgrande,Professor,Formal Aspects of Knowledge Representation,https://www.sfu.ca/computing/people/faculty/jamesdelgrande.html,http://www.cs.sfu.ca/~jim/
Martin Ester,Professor,Databases and Data Mining,https://www.sfu.ca/computing/people/faculty/martinester.html,https://author.sfu.ca/cf#/content/sfu/computing/people/faculty/martinester/people.html
Brian Fraser,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/
Yasutaka Furukawa,Associate Professor,"Computer Vision, Deep Learning, Computer Graphics & Computational Photography",https://www.sfu.ca/computing/people/faculty/yasutakafurukawa1.html,http://www.cs.sfu.ca/~furukawa/
Qianping Gu,Professor,Network Communications and Algorithms,https://www.sfu.ca/computing/people/faculty/QianpingGu.html,http://www.cs.sfu.ca/~qgu/
Mohamed Hefeeda,"Professor
DIRECTOR","Computer Networks, Multimedia Communications",https://www.sfu.ca/computing/people/faculty/mohamedhefeeda.html,http://www.cs.sfu.ca/~mhefeeda/
Valentine Kabanets,"Professor
Undergraduate Program Director","Complexity of Computation, Automata and Logic",https://www.sfu.ca/computing/people/faculty/valentinekabanets.html,http://www.cs.sfu.ca/~kabanets/
Ke Li,Assistant Professor,"Machine learning, Computer Vision",https://www.sfu.ca/computing/people/faculty/ke-li.html,
Maxwell Libbrecht,Assistant Professor,Computational Biology and Machine Learning,https://www.sfu.ca/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/
Jiangchuan (JC) Liu,"Professor
Graduate Program Director",Networking and multimedia communications,https://www.sfu.ca/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
David Mitchell,Associate Professor,"Constraint satisfaction, Algorithms for deduction and other reasoning tasks",https://www.sfu.ca/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/
Jacquie Nelsen,Limited-Term Lecturer,Technical Writing,https://www.sfu.ca/computing/people/faculty/jacquie-nelsen.html,
Jian Pei,Professor,Databases and Data Mining,https://www.sfu.ca/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/
Fred Popowich,Professor,Computational Linguistics and Logic Programming,https://www.sfu.ca/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/
Anoop Sarkar,Professor,Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory,https://www.sfu.ca/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
Oliver Schulte,Professor,"Machine Learning, Computational Logic, Computational Decision Theory",https://www.sfu.ca/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/
IGOR SHINKAR,ASSISTANT Professor,Computational complexity,https://www.sfu.ca/computing/people/faculty/igorshinkar.html,
Harinder Singh Khangura,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/
Ping Tan,Associate Professor,"Computer Vision, Computer Graphics, Robotics",https://www.sfu.ca/computing/people/faculty/pingtan.html,http://www.cs.sfu.ca/~pingtan/
Richard Vaughan,Professor,Robotics and Autonomous Systems,https://www.sfu.ca/computing/people/faculty/richardvaughan.html,http://www.cs.sfu.ca/~vaughan/
Jiannan Wang,Associate Professor,Database Systems and Big Data,https://www.sfu.ca/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/
Tao Wang,Assistant Professor,"Machine Learning, Computer Security",https://www.sfu.ca/computing/people/faculty/tao-wang.html,https://www.cs.sfu.ca/~taowang
Tianzheng Wang,Assistant Professor,"Database Systems, Parallel and Distributed Systems",https://www.sfu.ca/computing/people/faculty/tianzhengwang.html,
Cynthia Xie,Senior Lecturer,Mandarin Chinese Instruction for the Dual Degree Program,https://www.sfu.ca/computing/people/faculty/cynthiaxie.html,
Ryan Shea,Assistant Professor,,,
